"species_id","common_name","taxonomic_name","method","Albany Thicket","Forests","Fynbos","Grassland","Indian Ocean Coastal Belt","Mixed","NA","Nama-Karoo","Other","Savanna","Succulent Karoo"
"137","Eagle, Wahlberg's","Hieraaetus wahlbergi","perc_pres",0,0,0,9,2,18,0,0,0,71,0
"137","Eagle, Wahlberg's","Hieraaetus wahlbergi","perc_cards",0,0,0,4,0,19,0,0,0,77,0
"138","Eagle, Long-crested","Lophaetus occipitalis","perc_pres",2,0,2,39,4,37,0,0,0,16,0
"138","Eagle, Long-crested","Lophaetus occipitalis","perc_cards",1,0,2,38,4,44,0,0,0,12,0
"139","Eagle, Booted","Hieraaetus pennatus","perc_pres",3,0,23,9,1,41,0,9,0,11,5
"139","Eagle, Booted","Hieraaetus pennatus","perc_cards",2,0,33,6,0,42,0,7,0,6,3
"14","Petrel, Cape","Daption capense","perc_pres",0,0,50,0,0,50,0,0,0,0,0
"14","Petrel, Cape","Daption capense","perc_cards",0,0,50,0,0,50,0,0,0,0,0
"140","Hawk-Eagle, Ayre's","Hieraaetus ayresii","perc_pres",0,0,0,6,6,34,0,0,0,54,0
"140","Hawk-Eagle, Ayre's","Hieraaetus ayresii","perc_cards",0,0,0,5,2,31,0,0,0,62,0
"141","Hawk-eagle, African","Aquila spilogaster","perc_pres",0,0,0,3,0,11,0,0,0,86,0
"141","Hawk-eagle, African","Aquila spilogaster","perc_cards",0,0,0,1,0,23,0,0,0,76,0
"142","Eagle, Martial","Polemaetus bellicosus","perc_pres",2,0,10,11,1,31,0,8,0,34,2
"142","Eagle, Martial","Polemaetus bellicosus","perc_cards",1,0,7,5,0,30,0,3,0,53,1
"143","Eagle, Crowned","Stephanoaetus coronatus","perc_pres",5,0,1,11,6,54,0,0,0,22,0
"143","Eagle, Crowned","Stephanoaetus coronatus","perc_cards",2,0,1,6,12,66,0,0,0,14,0
"144","Buzzard, Lizard","Kaupifalco monogrammicus","perc_pres",0,0,0,3,1,14,0,0,0,82,0
"144","Buzzard, Lizard","Kaupifalco monogrammicus","perc_cards",0,0,0,2,0,21,0,0,0,77,0
"145","Eagle, Brown Snake","Circaetus cinereus","perc_pres",0,0,0,11,1,21,0,0,0,66,0
"145","Eagle, Brown Snake","Circaetus cinereus","perc_cards",0,0,0,3,0,21,0,0,0,75,0
"146","Eagle, Black-chested Snake","Circaetus pectoralis","perc_pres",0,0,1,14,2,20,0,3,0,57,2
"146","Eagle, Black-chested Snake","Circaetus pectoralis","perc_cards",0,0,0,14,2,23,0,1,0,58,1
"147","Eagle, Southern Banded Snake","Circaetus fasciolatus","perc_pres",0,0,0,0,11,69,0,0,0,20,0
"147","Eagle, Southern Banded Snake","Circaetus fasciolatus","perc_cards",0,0,0,0,4,78,0,0,0,17,0
"149","Eagle, African Fish","Haliaeetus vocifer","perc_pres",2,0,11,22,2,30,0,3,1,30,1
"149","Eagle, African Fish","Haliaeetus vocifer","perc_cards",1,0,7,14,4,39,0,1,0,35,0
"150","Vulture, Bearded","Gypaetus barbatus","perc_pres",0,0,0,100,0,0,0,0,0,0,0
"150","Vulture, Bearded","Gypaetus barbatus","perc_cards",0,0,0,100,0,0,0,0,0,0,0
"151","-","Terathopius ecaudatus","perc_pres",0,0,0,0,0,15,0,0,0,83,0
"151","-","Terathopius ecaudatus","perc_cards",0,0,0,0,0,20,0,0,0,80,0
"152","Buzzard, Jackal","Buteo rufofuscus","perc_pres",2,0,15,32,1,30,0,8,0,7,4
"152","Buzzard, Jackal","Buteo rufofuscus","perc_cards",3,0,28,24,1,38,0,3,0,2,1
"154","Buzzard, Common","Buteo buteo","perc_pres",2,0,10,34,1,25,0,3,0,25,0
"154","Buzzard, Common","Buteo buteo","perc_cards",1,0,15,28,1,32,0,1,0,22,0
"155","Buzzard, Forest","Buteo trizonatus","perc_pres",2,0,30,22,1,39,0,0,0,6,0
"155","Buzzard, Forest","Buteo trizonatus","perc_cards",1,0,32,7,0,58,0,0,0,1,0
"156","Sparrowhawk, Rufous-breasted","Accipiter rufiventris","perc_pres",0,0,26,44,0,25,0,3,0,1,0
"156","Sparrowhawk, Rufous-breasted","Accipiter rufiventris","perc_cards",0,0,43,37,0,18,0,1,0,1,0
"157","Sparrowhawk, Ovambo","Accipiter ovampensis","perc_pres",0,0,0,24,0,20,0,0,0,55,0
"157","Sparrowhawk, Ovambo","Accipiter ovampensis","perc_cards",0,0,0,58,0,23,0,0,0,19,0
"158","Sparrowhawk, Little","Accipiter minullus","perc_pres",1,0,1,10,3,30,0,0,0,55,0
"158","Sparrowhawk, Little","Accipiter minullus","perc_cards",0,0,0,20,2,30,0,0,0,47,0
"159","Sparrowhawk, Black","Accipiter melanoleucus","perc_pres",1,0,15,35,3,30,0,1,0,15,0
"159","Sparrowhawk, Black","Accipiter melanoleucus","perc_cards",1,0,20,28,4,38,0,0,0,9,0
"16","Petrel, Great-winged","Pterodroma macroptera","perc_pres",0,0,55,0,0,45,0,0,0,0,0
"16","Petrel, Great-winged","Pterodroma macroptera","perc_cards",0,0,64,0,0,36,0,0,0,0,0
"160","Goshawk, African","Accipiter tachiro","perc_pres",2,0,16,11,4,37,0,0,0,29,0
"160","Goshawk, African","Accipiter tachiro","perc_cards",1,0,16,4,5,48,0,0,0,26,0
"161","-","Accipiter badius","perc_pres",0,0,0,2,0,15,0,0,0,83,0
"161","-","Accipiter badius","perc_cards",0,0,0,2,0,19,0,0,0,79,0
"162","Goshawk, Gabar","Micronisus gabar","perc_pres",1,0,0,11,0,20,0,3,0,64,0
"162","Goshawk, Gabar","Micronisus gabar","perc_cards",0,0,0,11,0,24,0,3,0,63,0
"163","Goshawk, Dark Chanting","Melierax metabates","perc_pres",0,0,0,0,0,7,0,0,0,93,0
"163","Goshawk, Dark Chanting","Melierax metabates","perc_cards",0,0,0,0,0,11,0,0,0,89,0
"165","Goshawk, Pale Chanting","Melierax canorus","perc_pres",2,0,5,10,0,32,0,21,0,23,7
"165","Goshawk, Pale Chanting","Melierax canorus","perc_cards",2,0,5,7,0,45,0,15,1,20,6
"166","Harrier, Western Marsh","Circus aeruginosus","perc_pres",5,0,0,32,0,41,0,0,0,23,0
"166","Harrier, Western Marsh","Circus aeruginosus","perc_cards",6,0,0,21,0,65,0,0,0,8,0
"167","Harrier, African Marsh","Circus ranivorus","perc_pres",2,0,18,39,3,32,0,0,0,6,0
"167","Harrier, African Marsh","Circus ranivorus","perc_cards",1,0,24,23,1,49,0,0,0,2,0
"168","Harrier, Pallid","Circus macrourus","perc_pres",0,0,1,40,0,22,0,1,0,36,0
"168","Harrier, Pallid","Circus macrourus","perc_cards",0,0,1,30,0,23,0,1,0,45,0
"169","Harrier, Black","Circus maurus","perc_pres",4,0,33,25,0,27,0,4,1,1,5
"169","Harrier, Black","Circus maurus","perc_cards",2,0,36,12,0,45,0,1,1,0,2
"170","Harrier, Montagu's","Circus pygargus","perc_pres",0,0,2,46,0,19,0,0,0,33,0
"170","Harrier, Montagu's","Circus pygargus","perc_cards",0,0,1,45,0,21,0,0,0,33,0
