"","PENTADE","Azonal Vegetation","Savanna","Forests","Grassland","NA","Nama-Karoo","Indian Ocean Coastal Belt","Desert","Succulent Karoo","Fynbos","<Null>","Albany Thicket"
"2231","2520_3020",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2232","2520_3025",NA,45.7107128227249,4.0132189184557,50.275770609169,NA,NA,NA,NA,NA,NA,NA,NA
"2233","2520_3030",NA,47.4417054474439,9.72309705301981,42.8345925574779,NA,NA,NA,NA,NA,NA,NA,NA
"2234","2520_3035",NA,89.2612628525632,7.73163283167703,3.00728761258513,NA,NA,NA,NA,NA,NA,NA,NA
"2235","2520_3040",NA,49.7317399797879,2.02113443333065,48.2463317637268,NA,NA,NA,NA,NA,NA,NA,NA
"2236","2520_3045",NA,59.4744656769533,NA,40.5261462579908,NA,NA,NA,NA,NA,NA,NA,NA
"2237","2520_3050",NA,99.7849314680224,NA,0.217611466697407,NA,NA,NA,NA,NA,NA,NA,NA
"2238","2520_3055",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2239","2520_3100",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2240","2520_3105",NA,99.9999934167156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2241","2520_3110",NA,99.9999814054663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2242","2520_3115",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2243","2520_3120",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2244","2520_3125",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2245","2520_3130",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2246","2520_3135",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2247","2520_3140",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2248","2520_3145",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2249","2520_3150",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2250","2520_3155",NA,99.9186147956111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2251","2520_3200",NA,67.3005217706081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2252","2525_1955",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2253","2525_2000",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2254","2525_2005",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2255","2525_2010",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2256","2525_2015",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2257","2525_2020",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2258","2525_2025",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2259","2525_2030",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2260","2525_2035",31.288283071895,59.0826645473017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2261","2525_2040",75.3559081144297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2262","2525_2250",38.4557296482338,57.5971211466012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2263","2525_2255",0.384053816269844,99.6172570330314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2264","2525_2300",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2265","2525_2305",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2266","2525_2310",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2267","2525_2315",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2268","2525_2320",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2269","2525_2325",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2270","2525_2330",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2271","2525_2335",7.75535577627798,91.9539724844083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2272","2525_2340",20.4410107193934,75.2465878248034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2273","2525_2345",63.6538922650449,27.7843863955102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2274","2525_2535",NA,45.5045765599825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2275","2525_2540",NA,59.642107301043,NA,38.778494045068,NA,NA,NA,NA,NA,NA,NA,NA
"2276","2525_2545",NA,10.6296471820021,NA,89.3738899939468,NA,NA,NA,NA,NA,NA,NA,NA
"2277","2525_2550",NA,75.5911371835234,NA,24.4066045838379,NA,NA,NA,NA,NA,NA,NA,NA
"2278","2525_2555",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2279","2525_2600",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2280","2525_2605",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2281","2525_2610",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2282","2525_2615",NA,99.9999682144213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2283","2525_2620",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2284","2525_2625",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285","2525_2630",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2286","2525_2635",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287","2525_2640",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2288","2525_2645",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2289","2525_2650",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290","2525_2655",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2291","2525_2700",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292","2525_2705",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293","2525_2710",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294","2525_2715",NA,100.000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295","2525_2720",NA,100.000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2296","2525_2725",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2297","2525_2730",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2298","2525_2735",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2299","2525_2740",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300","2525_2745",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2301","2525_2750",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302","2525_2755",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303","2525_2800",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304","2525_2805",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305","2525_2810",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2306","2525_2815",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2307","2525_2820",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2308","2525_2825",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309","2525_2830",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310","2525_2835",NA,99.999952777569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311","2525_2840",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312","2525_2845",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2313","2525_2850",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314","2525_2855",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2315","2525_2900",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316","2525_2905",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2317","2525_2910",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2318","2525_2915",NA,93.8193318837574,NA,6.17665605430202,NA,NA,NA,NA,NA,NA,NA,NA
