system:index,0,1,AREA,Area_km2,Area_m2,BOTTOM,CENTREX,CENTREY,ID,LABEL,LEFT,PENTADE,QDGC,RIGHT,TOP,histogram,.geo
0000000000000000001e,87072.08235294053,,0.0069,72.17,7.217490788E7,-22.333333,30.041667,-22.291667,10501,GW40,30.0,2215_3000,2230AC,30.083333,-22.25,{0=87072.08235294053},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,40523.45882352933,,0.0069,33.59,3.359365351E7,-22.333333,30.125,-22.291667,10502,GX40,30.083333,2215_3005,2230AC,30.166667,-22.25,{0=40523.45882352933},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,40694.81568627456,,0.0069,33.73,3.373357863E7,-22.333333,30.208333,-22.291667,10503,GY40,30.166667,2215_3010,2230AC,30.25,-22.25,{0=40694.81568627456},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,1803.984313725487,,0.0069,1.5,1496934.78,-22.333333,30.291667,-22.291667,10504,HZ40,30.25,2215_3015,2230AD,30.333333,-22.25,{0=1803.984313725487},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,11241.901960784331,,0.0069,9.33,9325006.09,-22.333333,30.458333,-22.291667,10506,HB40,30.416667,2215_3025,2230AD,30.5,-22.25,{0=11241.901960784331},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,14433.262745098067,,0.0069,11.97,1.197324685E7,-22.333333,30.541667,-22.291667,10507,HC40,30.5,2215_3030,2230BC,30.583333,-22.25,{0=14433.262745098067},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,14516.337254901953,51.25098039215686,0.0069,12.08,1.208431249E7,-22.333333,30.625,-22.291667,10508,HD40,30.583333,2215_3035,2230BC,30.666667,-22.25,"{1=51.25098039215686, 0=14516.337254901953}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,25591.254901960867,,0.0069,21.22,2.121805378E7,-22.333333,30.708333,-22.291667,10509,HE40,30.666667,2215_3040,2230BC,30.75,-22.25,{0=25591.254901960867},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,40933.70588235277,3.0,0.0069,33.94,3.393540185E7,-22.333333,30.791667,-22.291667,10510,HF40,30.75,2215_3045,2230BD,30.833333,-22.25,"{1=3.0, 0=40933.70588235277}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,43116.31764705888,,0.0069,35.74,3.574071951E7,-22.333333,30.875,-22.291667,10511,HG40,30.833333,2215_3050,2230BD,30.916667,-22.25,{0=43116.31764705888},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,22813.55686274518,,0.0069,18.92,1.891672861E7,-22.333333,30.958333,-22.291667,10512,HH40,30.916667,2215_3055,2230BD,31.0,-22.25,{0=22813.55686274518},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,3090.2862745098046,,0.0069,2.57,2566860.04,-22.333333,31.041667,-22.291667,10513,HI40,31.0,2215_3100,2231AC,31.083333,-22.25,{0=3090.2862745098046},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,2945.8235294117667,,0.0069,2.45,2447476.46,-22.333333,31.125,-22.291667,10514,HJ40,31.083333,2215_3105,2231AC,31.166667,-22.25,{0=2945.8235294117667},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,204.73333333333338,,0.0069,0.17,170905.06,-22.333333,31.208333,-22.291667,10515,HK40,31.166667,2215_3110,2231AC,31.25,-22.25,{0=204.73333333333338},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,43334.57647058832,11.886274509803922,0.0069,35.9,3.590052879E7,-22.416667,28.958333,-22.375,10752,GJ41,28.916667,2220_2855,2228BD,29.0,-22.333333,"{1=11.886274509803922, 0=43334.57647058832}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,95585.03529411858,39.0,0.0069,79.2,7.919766502E7,-22.416667,29.041667,-22.375,10753,GK41,29.0,2220_2900,2229AC,29.083333,-22.333333,"{1=39.0, 0=95585.03529411858}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,95602.89411764705,26.0,0.0069,79.2,7.919766502E7,-22.416667,29.125,-22.375,10754,GL41,29.083333,2220_2905,2229AC,29.166667,-22.333333,"{1=26.0, 0=95602.89411764705}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,95603.61960784295,18.0,0.0069,79.2,7.919766502E7,-22.416667,29.208333,-22.375,10755,GM41,29.166667,2220_2910,2229AC,29.25,-22.333333,"{1=18.0, 0=95603.61960784295}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,95476.8313725487,146.0,0.0069,79.2,7.919766502E7,-22.416667,29.291667,-22.375,10756,GN41,29.25,2220_2915,2229AD,29.333333,-22.333333,"{1=146.0, 0=95476.8313725487}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,95626.89803921583,2.0,0.0069,79.2,7.919766502E7,-22.416667,29.375,-22.375,10757,GO41,29.333333,2220_2920,2229AD,29.416667,-22.333333,"{1=2.0, 0=95626.89803921583}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,95624.03529411858,,0.0069,79.2,7.919766502E7,-22.416667,29.458333,-22.375,10758,GP41,29.416667,2220_2925,2229AD,29.5,-22.333333,{0=95624.03529411858},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,95627.6823529414,,0.0069,79.2,7.919766502E7,-22.416667,29.541667,-22.375,10759,GQ41,29.5,2220_2930,2229BC,29.583333,-22.333333,{0=95627.6823529414},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,95622.83529411803,,0.0069,79.2,7.919766502E7,-22.416667,29.625,-22.375,10760,GR41,29.583333,2220_2935,2229BC,29.666667,-22.333333,{0=95622.83529411803},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,95622.83529411662,,0.0069,79.2,7.919766502E7,-22.416667,29.708333,-22.375,10761,GS41,29.666667,2220_2940,2229BC,29.75,-22.333333,{0=95622.83529411662},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,95628.89019607905,,0.0069,79.2,7.919766502E7,-22.416667,29.791667,-22.375,10762,GT41,29.75,2220_2945,2229BD,29.833333,-22.333333,{0=95628.89019607905},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,95622.83529411719,,0.0069,79.2,7.919766502E7,-22.416667,29.875,-22.375,10763,GU41,29.833333,2220_2950,2229BD,29.916667,-22.333333,{0=95622.83529411719},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,95622.83529411802,,0.0069,79.2,7.919766502E7,-22.416667,29.958333,-22.375,10764,GV41,29.916667,2220_2955,2229BD,30.0,-22.333333,{0=95622.83529411802},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,95626.6823529406,1.0,0.0069,79.2,7.919766502E7,-22.416667,30.041667,-22.375,10765,GW41,30.0,2220_3000,2230AC,30.083333,-22.333333,"{1=1.0, 0=95626.6823529406}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,95622.83137254998,,0.0069,79.2,7.919766502E7,-22.416667,30.125,-22.375,10766,GX41,30.083333,2220_3005,2230AC,30.166667,-22.333333,{0=95622.83137254998},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,95627.88235294138,1.0,0.0069,79.2,7.919766502E7,-22.416667,30.208333,-22.375,10767,GY41,30.166667,2220_3010,2230AC,30.25,-22.333333,"{1=1.0, 0=95627.88235294138}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,83457.57254901936,,0.0069,69.13,6.913064784E7,-22.416667,30.291667,-22.375,10768,HZ41,30.25,2220_3015,2230AD,30.333333,-22.333333,{0=83457.57254901936},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,83663.82745098078,,0.0069,69.3,6.930332066E7,-22.416667,30.375,-22.375,10769,HA41,30.333333,2220_3020,2230AD,30.416667,-22.333333,{0=83663.82745098078},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,95182.29411764724,,0.0069,78.83,7.883106828E7,-22.416667,30.458333,-22.375,10770,HB41,30.416667,2220_3025,2230AD,30.5,-22.333333,{0=95182.29411764724},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,95624.03921568723,,0.0069,79.2,7.919766502E7,-22.416667,30.541667,-22.375,10771,HC41,30.5,2220_3030,2230BC,30.583333,-22.333333,{0=95624.03921568723},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,95583.2941176472,40.74901960784314,0.0069,79.2,7.919766502E7,-22.416667,30.625,-22.375,10772,HD41,30.583333,2220_3035,2230BC,30.666667,-22.333333,"{1=40.74901960784314, 0=95583.2941176472}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,95627.68235294159,,0.0069,79.2,7.919766502E7,-22.416667,30.708333,-22.375,10773,HE41,30.666667,2220_3040,2230BC,30.75,-22.333333,{0=95627.68235294159},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,95622.83137254858,,0.0069,79.2,7.919766502E7,-22.416667,30.791667,-22.375,10774,HF41,30.75,2220_3045,2230BD,30.833333,-22.333333,{0=95622.83137254858},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,95627.6823529416,,0.0069,79.2,7.919766502E7,-22.416667,30.875,-22.375,10775,HG41,30.833333,2220_3050,2230BD,30.916667,-22.333333,{0=95627.6823529416},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,95624.03529411717,,0.0069,79.2,7.919766502E7,-22.416667,30.958333,-22.375,10776,HH41,30.916667,2220_3055,2230BD,31.0,-22.333333,{0=95624.03529411717},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,91658.70196078446,,0.0069,75.92,7.592048332E7,-22.416667,31.041667,-22.375,10777,HI41,31.0,2220_3100,2231AC,31.083333,-22.333333,{0=91658.70196078446},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,92445.9137254899,,0.0069,76.57,7.656703295E7,-22.416667,31.125,-22.375,10778,HJ41,31.083333,2220_3105,2231AC,31.166667,-22.333333,{0=92445.9137254899},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,72171.92156862747,,0.0069,59.78,5.978206376E7,-22.416667,31.208333,-22.375,10779,HK41,31.166667,2220_3110,2231AC,31.25,-22.333333,{0=72171.92156862747},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,25454.850980392315,,0.0069,21.09,2.108522508E7,-22.416667,31.291667,-22.375,10780,HL41,31.25,2220_3115,2231AD,31.333333,-22.333333,{0=25454.850980392315},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,7120.858823529376,193.8156862745099,0.0069,6.05,6053580.25,-22.5,28.791667,-22.458333,11014,GH42,28.75,2225_2845,2228BD,28.833333,-22.416667,"{1=193.8156862745099, 0=7120.858823529376}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,54226.06666666669,152.3843137254902,0.0069,45.01,4.500696007E7,-22.5,28.875,-22.458333,11015,GI42,28.833333,2225_2850,2228BD,28.916667,-22.416667,"{1=152.3843137254902, 0=54226.06666666669}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,85287.56862745107,21.0,0.0069,70.61,7.06130262E7,-22.5,28.958333,-22.458333,11016,GJ42,28.916667,2225_2855,2228BD,29.0,-22.416667,"{1=21.0, 0=85287.56862745107}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,95624.0313725493,,0.0069,79.15,7.915125061E7,-22.5,29.041667,-22.458333,11017,GK42,29.0,2225_2900,2229AC,29.083333,-22.416667,{0=95624.0313725493},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,95622.8941176466,6.0,0.0069,79.15,7.915125061E7,-22.5,29.125,-22.458333,11018,GL42,29.083333,2225_2905,2229AC,29.166667,-22.416667,"{1=6.0, 0=95622.8941176466}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,95615.6156862748,6.0,0.0069,79.15,7.915125061E7,-22.5,29.208333,-22.458333,11019,GM42,29.166667,2225_2910,2229AC,29.25,-22.416667,"{1=6.0, 0=95615.6156862748}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,95431.83137254932,191.0,0.0069,79.15,7.915125061E7,-22.5,29.291667,-22.458333,11020,GN42,29.25,2225_2915,2229AD,29.333333,-22.416667,"{1=191.0, 0=95431.83137254932}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,95628.89411764687,,0.0069,79.15,7.915125061E7,-22.5,29.375,-22.458333,11021,GO42,29.333333,2225_2920,2229AD,29.416667,-22.416667,{0=95628.89411764687},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,95624.03921568657,,0.0069,79.15,7.915125061E7,-22.5,29.458333,-22.458333,11022,GP42,29.416667,2225_2925,2229AD,29.5,-22.416667,{0=95624.03921568657},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,95627.68627450994,,0.0069,79.15,7.915125061E7,-22.5,29.541667,-22.458333,11023,GQ42,29.5,2225_2930,2229BC,29.583333,-22.416667,{0=95627.68627450994},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,95622.83137254868,,0.0069,79.15,7.915125061E7,-22.5,29.625,-22.458333,11024,GR42,29.583333,2225_2935,2229BC,29.666667,-22.416667,{0=95622.83137254868},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,95622.83137254867,,0.0069,79.15,7.915125061E7,-22.5,29.708333,-22.458333,11025,GS42,29.666667,2225_2940,2229BC,29.75,-22.416667,{0=95622.83137254867},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,95628.88627451008,,0.0069,79.15,7.915125061E7,-22.5,29.791667,-22.458333,11026,GT42,29.75,2225_2945,2229BD,29.833333,-22.416667,{0=95628.88627451008},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,95622.83137254909,,0.0069,79.15,7.915125061E7,-22.5,29.875,-22.458333,11027,GU42,29.833333,2225_2950,2229BD,29.916667,-22.416667,{0=95622.83137254909},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,95622.83137254868,,0.0069,79.15,7.915125061E7,-22.5,29.958333,-22.458333,11028,GV42,29.916667,2225_2955,2229BD,30.0,-22.416667,{0=95622.83137254868},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,95627.68627450966,,0.0069,79.15,7.915125061E7,-22.5,30.041667,-22.458333,11029,GW42,30.0,2225_3000,2230AC,30.083333,-22.416667,{0=95627.68627450966},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,95622.83137254909,,0.0069,79.15,7.915125061E7,-22.5,30.125,-22.458333,11030,GX42,30.083333,2225_3005,2230AC,30.166667,-22.416667,{0=95622.83137254909},"{""type"":""MultiPoint"",""coordinates"":[]}"
