"spp","presences","absences","perc_pres"
519,1080,76421,1.39353040605928
520,39,77462,0.0503219313299183
527,20690,56811,26.6964297234874
530,1814,75687,2.34061495980697
533,35659,41842,46.0110192126553
536,5060,72441,6.52894801357402
540,578,29965,1.89241397374194
542,752,64614,1.15044518557048
550,6311,71190,8.14312073392601
552,22573,54928,29.1260757925704
557,15236,62265,19.6591011728881
560,1341,64025,2.05152525777927
563,12,77489,0.0154836711784364
567,37,30506,0.121140686900435
569,4221,61145,6.45748554294281
574,111,77390,0.143223958400537
580,9106,68395,11.7495258125702
582,13152,64349,16.9701036115663
585,2644,74857,3.41156888298215
586,11423,66078,14.7391646559399
588,34492,43009,44.5052321905524
592,168,77333,0.21677139649811
594,551,76950,0.710958568276538
596,1138,76363,1.46836815008839
597,683,76818,0.881278951239339
598,130,77371,0.167739771099728
601,7575,69926,9.77406743138798
602,802,76699,1.03482535709217
612,1331,29212,4.35779065579675
614,3486,74015,4.49800647733578
615,3160,74341,4.07736674365492
624,1212,76290,1.56383061082295
625,13178,64324,17.0034321694924
628,9012,68490,11.6280870171092
63,10673,66826,13.7717906037497
631,9739,55627,14.8991830615305
634,7568,57798,11.5778845271242
635,1384,63982,2.11730869259248
639,4803,60563,7.34785668390295
641,329,77174,0.424499696785931
642,35674,41829,46.0291859669948
644,8012,69491,10.3376643484768
654,15479,62024,19.9721301110925
656,4863,72640,6.27459582209721
657,6269,71234,8.08871914635562
66,613,76886,0.790977948102556
661,12125,65378,15.6445556946183
662,2824,74679,3.64372992013212
664,17290,60213,22.308813852367
668,5,77498,0.00645136317303846
673,36391,41112,46.9543114460085
698,64,77439,0.0825774486148923
699,1806,75697,2.33023237810149
70,239,77260,0.308391076013884
700,64,65302,0.0979102285591898
701,554,64812,0.847535415965487
702,33,77470,0.0425789969420539
703,33153,32213,50.7190282409815
706,8086,69417,10.4331445234378
708,18245,59258,23.5410242184174
711,16062,61441,20.7243590570688
712,35311,42192,45.5608170006322
714,25341,52162,32.6967988335935
715,20665,56838,26.663483994168
719,22164,55339,28.5976026734449
721,5531,71972,7.13649794201515
723,16153,61350,20.8417738668181
724,23888,53615,30.8220326955086
725,2706,74797,3.49147774924842
727,9819,67684,12.6691869992129
728,2960,74543,3.81920699843877
73,4682,72817,6.04136827571969
730,6536,70967,8.43322193979588
731,19413,58090,25.0480626556391
736,12856,64647,16.5877449905165
738,8186,69317,10.5621717868986
739,3,77500,0.00387081790382308
742,742,76761,0.957382294878908
743,15014,62489,19.3721533359999
747,1902,75601,2.45409855102383
748,22601,54902,29.1614518147685
749,7713,22830,25.2529221098124
75,3531,73968,4.55618782177835
750,725,64641,1.10913930789707
753,5840,24703,19.1205840945552
755,13508,63995,17.4290027482807
76,5382,72117,6.94460573684822
763,38979,38524,50.2935370243733
77,2928,74571,3.77811326597763
774,8884,68619,11.4627820858547
779,10154,67350,13.1012592898431
78,1119,76380,1.44388959857547
785,2025,75479,2.61276837324525
787,2,77502,0.00258051197357556
789,13300,64204,17.1604046242775
792,6914,70590,8.9208298926507
793,6301,71203,8.12990297274979
812,11078,54288,16.9476486246673
816,9794,55572,14.9833246641985
818,30249,35117,46.2763516201083
82,6401,58965,9.79255270324022
821,7138,70366,9.20984723369116
829,65,77439,0.0838666391412056
830,14442,63062,18.6338769611891
831,1058,76446,1.36509083402147
835,10229,67275,13.1980284888522
837,12027,65477,15.5179087530966
839,44735,32769,57.7196015689513
840,7530,69974,9.71562758051197
841,5388,72116,6.95189925681255
844,12890,52476,19.7197319707493
847,3922,73582,5.06038398018167
850,1562,75942,2.01537985136251
851,4476,73028,5.7751857968621
852,7333,70171,9.46144715111478
855,2677,27866,8.76469240087745
856,423,64944,0.647115517003993
869,461,30082,1.50934747732705
870,1193,29350,3.90596863438431
874,21861,55643,28.2062861271676
883,17,77487,0.0219343517753922
885,1,65366,0.00152982391726712
886,1,65366,0.00152982391726712
892,13,77491,0.0167733278282411
9,1,30540,0.00327428702400052
901,57,30486,0.186622139279049
902,32,77472,0.0412881915772089
91,3885,73614,5.01296790926335
928,190,65177,0.290666544280753
938,5,5138,0.0972195216799533
974,6,65362,0.00917880308407784
977,457,77048,0.589639378104638
980,158,30385,0.517303473791049
984,36,30507,0.117866614281505
985,96,30447,0.314310971417346
987,4,30539,0.0130962904757228
